"offense","offense_conference","defense","defense_conference","game_id","id","scoring","start_period","start_yardline","start_yards_to_goal","start_time.minutes","start_time.seconds","end_period","end_yardline","end_yards_to_goal","end_time.minutes","end_time.seconds","elapsed.minutes","elapsed.seconds","plays","yards","drive_result","week"
"Alabama","SEC","Duke","ACC",401110720,"4011107201",FALSE,1,22,78,15,0,1,19,81,12,57,2,3,3,-3,"PUNT",1
"Duke","ACC","Alabama","SEC",401110720,"4011107202",FALSE,1,55,55,12,57,1,52,52,11,49,1,8,3,3,"PUNT",1
"Alabama","SEC","Duke","ACC",401110720,"4011107203",FALSE,1,17,83,11,49,1,23,77,11,24,NA,25,2,9,"FUMBLE",1
"Duke","ACC","Alabama","SEC",401110720,"4011107204",FALSE,1,26,26,11,24,1,7,7,8,28,2,56,7,19,"DOWNS",1
"Alabama","SEC","Duke","ACC",401110720,"4011107205",FALSE,1,7,93,8,28,1,69,31,3,25,5,3,12,62,"MISSED FG",1
"Duke","ACC","Alabama","SEC",401110720,"4011107206",FALSE,1,68,68,3,25,1,48,48,0,51,2,34,5,20,"PUNT",1
"Alabama","SEC","Duke","ACC",401110720,"4011107207",TRUE,1,20,80,0,51,2,100,0,10,2,5,49,12,80,"TD",1
"Duke","ACC","Alabama","SEC",401110720,"4011107208",FALSE,2,75,75,10,2,2,81,81,8,24,1,38,3,-6,"PUNT",1
"Alabama","SEC","Duke","ACC",401110720,"4011107209",TRUE,2,24,76,8,24,2,100,0,5,13,3,11,7,76,"TD",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107211",TRUE,1,75,75,15,0,1,33,33,13,9,1,51,6,42,"FG",1
"Arkansas","SEC","Portland State",NA,401110721,"4011107212",TRUE,1,30,70,13,9,1,84,16,9,40,3,29,9,54,"FG",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107213",FALSE,1,75,75,9,40,1,77,77,7,31,2,9,3,-2,"PUNT",1
"Arkansas","SEC","Portland State",NA,401110721,"4011107214",TRUE,1,36,64,7,31,1,100,0,3,16,4,15,10,64,"TD",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107215",TRUE,1,75,75,3,16,2,30,30,14,7,4,9,11,45,"FG",1
"Arkansas","SEC","Portland State",NA,401110721,"4011107216",FALSE,2,27,73,14,7,2,29,71,12,29,1,38,3,2,"PUNT",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107217",FALSE,2,65,65,12,29,2,41,41,9,10,3,19,6,24,"PUNT",1
"Arkansas","SEC","Portland State",NA,401110721,"4011107218",FALSE,2,20,80,9,10,2,60,40,3,37,5,33,10,40,"PUNT",1
"Portland State",NA,"Arkansas","SEC",401110721,"4011107219",FALSE,2,80,80,3,37,2,82,82,2,46,NA,51,3,-2,"INT",1
"Oregon","Pac-12","Auburn","SEC",401110722,"4011107221",TRUE,1,74,74,15,0,1,0,0,10,13,4,47,11,74,"TD",1
"Auburn","SEC","Oregon","Pac-12",401110722,"4011107222",FALSE,1,25,75,10,13,1,27,73,8,34,1,39,3,2,"PUNT",1
"Oregon","Pac-12","Auburn","SEC",401110722,"4011107223",FALSE,1,44,44,8,34,1,2,2,4,42,3,52,10,42,"MISSED FG",1
"Auburn","SEC","Oregon","Pac-12",401110722,"4011107224",TRUE,1,20,80,4,42,1,78,22,3,17,1,25,6,58,"FG",1
"Oregon","Pac-12","Auburn","SEC",401110722,"4011107225",TRUE,1,75,75,3,17,1,0,0,2,11,1,6,3,75,"TD",1
"Auburn","SEC","Oregon","Pac-12",401110722,"4011107226",FALSE,1,20,80,2,11,2,85,15,12,31,4,40,11,65,"INT",1
"Oregon","Pac-12","Auburn","SEC",401110722,"4011107227",FALSE,2,88,88,12,31,2,72,72,9,16,3,15,5,16,"PUNT",1
"Auburn","SEC","Oregon","Pac-12",401110722,"4011107228",FALSE,2,13,87,9,16,2,41,59,6,31,2,45,5,28,"PUNT",1
"Oregon","Pac-12","Auburn","SEC",401110722,"4011107229",FALSE,2,9,9,6,31,2,9,9,6,15,NA,16,1,-5,"FUMBLE",1
"Miami","ACC","Florida","SEC",401110723,"4011107231",TRUE,1,75,75,15,0,1,19,19,9,37,5,23,9,56,"FG",1
"Florida","SEC","Miami","ACC",401110723,"4011107232",TRUE,1,21,79,9,37,1,100,0,7,37,2,NA,5,79,"TD",1
"Miami","ACC","Florida","SEC",401110723,"4011107233",FALSE,1,75,75,7,37,1,79,79,4,59,2,38,3,-5,"PUNT",1
"Florida","SEC","Miami","ACC",401110723,"4011107234",FALSE,1,40,60,4,59,2,93,7,13,18,6,41,12,51,"FUMBLE",1
"Miami","ACC","Florida","SEC",401110723,"4011107235",FALSE,2,91,91,13,18,2,93,93,11,41,1,37,3,-2,"PUNT",1
"Florida","SEC","Miami","ACC",401110723,"4011107236",FALSE,2,60,40,11,41,2,63,37,10,46,NA,55,2,-8,"FUMBLE",1
"Miami","ACC","Florida","SEC",401110723,"4011107237",TRUE,2,52,52,10,46,2,25,25,8,26,2,20,5,27,"FG",1
"Florida","SEC","Miami","ACC",401110723,"4011107238",FALSE,2,33,67,8,26,2,40,60,6,53,1,33,3,7,"PUNT",1
"Miami","ACC","Florida","SEC",401110723,"4011107239",TRUE,2,90,90,6,53,2,0,0,0,45,6,8,12,90,"TD",1
"Toledo","Mid-American","Kentucky","SEC",401110724,"4011107241",TRUE,1,63,63,15,0,1,0,0,12,15,2,45,7,63,"TD",1
"Kentucky","SEC","Toledo","Mid-American",401110724,"4011107242",FALSE,1,30,70,12,9,1,25,75,10,38,1,31,3,-5,"PUNT",1
"Toledo","Mid-American","Kentucky","SEC",401110724,"4011107243",FALSE,1,80,80,10,38,1,44,44,6,37,4,1,8,36,"PUNT",1
"Kentucky","SEC","Toledo","Mid-American",401110724,"4011107244",TRUE,1,3,97,6,37,2,100,0,14,55,6,42,14,97,"TD",1
"Toledo","Mid-American","Kentucky","SEC",401110724,"4011107245",TRUE,2,75,75,14,55,2,0,0,11,31,3,24,7,75,"TD",1
"Kentucky","SEC","Toledo","Mid-American",401110724,"4011107246",FALSE,2,24,76,11,25,2,22,78,9,36,1,49,3,-2,"PUNT",1
"Toledo","Mid-American","Kentucky","SEC",401110724,"4011107247",FALSE,2,87,87,9,36,2,93,93,7,0,2,36,3,-6,"PUNT",1
"Kentucky","SEC","Toledo","Mid-American",401110724,"4011107248",TRUE,2,44,56,7,0,2,100,0,6,1,NA,59,3,56,"TD",1
"Toledo","Mid-American","Kentucky","SEC",401110724,"4011107249",FALSE,2,75,75,6,1,2,50,50,3,21,2,40,6,25,"PUNT",1
"LSU","SEC","Georgia Southern","Sun Belt",401110725,"4011107251",TRUE,1,25,75,15,0,1,100,0,12,36,2,24,6,75,"TD",1
"Georgia Southern","Sun Belt","LSU","SEC",401110725,"4011107252",FALSE,1,75,75,12,36,1,71,71,10,23,2,13,3,4,"PUNT",1
"LSU","SEC","Georgia Southern","Sun Belt",401110725,"4011107253",TRUE,1,66,34,10,23,1,100,0,8,10,2,13,6,34,"TD",1
"Georgia Southern","Sun Belt","LSU","SEC",401110725,"4011107254",FALSE,1,75,75,8,10,1,78,78,6,59,1,11,3,-3,"PUNT",1
"LSU","SEC","Georgia Southern","Sun Belt",401110725,"4011107255",TRUE,1,48,52,6,59,1,100,0,3,9,3,50,10,52,"TD",1
"Georgia Southern","Sun Belt","LSU","SEC",401110725,"4011107256",FALSE,1,75,75,3,9,1,52,52,0,12,2,57,5,11,"FUMBLE",1
"LSU","SEC","Georgia Southern","Sun Belt",401110725,"4011107257",TRUE,1,74,26,0,12,2,100,0,13,10,2,2,5,26,"TD",1
"Georgia Southern","Sun Belt","LSU","SEC",401110725,"4011107258",FALSE,2,75,75,13,10,2,82,82,11,17,1,53,3,0,"FUMBLE",1
"LSU","SEC","Georgia Southern","Sun Belt",401110725,"4011107259",TRUE,2,75,25,11,17,2,100,0,9,58,1,19,4,25,"TD",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"4011107261",FALSE,1,75,75,15,0,1,74,74,14,7,NA,53,3,1,"PUNT",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"4011107262",FALSE,1,30,70,14,7,1,38,62,12,41,1,26,3,8,"PUNT",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"4011107263",FALSE,1,78,78,12,41,1,76,76,11,23,1,18,3,2,"PUNT",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"4011107264",TRUE,1,26,74,11,23,1,100,0,5,23,6,NA,13,74,"TD",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"4011107265",FALSE,1,75,75,5,23,1,87,87,3,21,2,2,3,-12,"PUNT",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"4011107266",FALSE,1,26,74,3,21,1,35,65,1,31,1,50,3,9,"PUNT",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"4011107267",FALSE,1,78,78,1,31,2,32,32,13,26,3,5,8,46,"MISSED FG",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"4011107268",FALSE,2,33,67,13,26,2,67,33,10,42,2,44,6,34,"DOWNS",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"4011107269",FALSE,2,67,67,10,42,2,51,51,9,26,1,16,4,16,"PUNT",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"4011107271",TRUE,1,74,74,15,0,1,0,0,12,27,2,33,6,74,"TD",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"4011107272",FALSE,1,22,78,12,20,1,22,78,12,13,NA,7,1,0,"INT",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"4011107273",FALSE,1,35,35,12,13,1,28,28,10,11,2,2,4,7,"FUMBLE",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"4011107274",FALSE,1,28,72,10,11,1,52,48,7,28,2,43,8,24,"FUMBLE",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"4011107275",FALSE,1,52,52,7,28,1,32,32,5,16,2,12,6,20,"DOWNS",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"4011107276",FALSE,1,32,68,5,16,1,39,61,4,22,NA,54,3,7,"PUNT",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"4011107278",TRUE,1,85,15,4,22,1,100,0,3,17,1,5,3,15,"TD",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"4011107279",FALSE,1,85,85,3,10,2,9,9,13,3,5,7,10,76,"MISSED FG",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"4011107281",FALSE,1,25,75,15,0,1,29,71,13,35,1,25,3,4,"PUNT",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"4011107282",TRUE,1,65,65,13,35,1,0,0,9,4,4,31,12,65,"TD",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"4011107283",FALSE,1,25,75,9,4,1,34,66,7,46,1,18,3,9,"PUNT",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"4011107284",TRUE,1,74,74,7,46,1,0,0,3,19,4,27,11,74,"TD",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"4011107285",FALSE,1,25,75,3,19,1,35,65,1,18,2,1,4,10,"PUNT",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"4011107286",FALSE,1,81,81,1,18,2,86,86,14,46,1,32,3,-5,"PUNT",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"4011107287",TRUE,2,45,55,14,46,2,98,2,9,9,5,37,12,53,"FG",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"4011107288",TRUE,2,75,75,9,9,2,70,70,7,54,1,15,3,5,"FUMBLE TD",1
"South Carolina","SEC","North Carolina","ACC",401110729,"4011107291",TRUE,1,73,73,15,0,1,15,15,11,30,3,30,9,58,"FG",1
"North Carolina","ACC","South Carolina","SEC",401110729,"4011107292",TRUE,1,25,75,11,30,1,95,5,5,58,5,32,11,70,"FG",1
"South Carolina","SEC","North Carolina","ACC",401110729,"4011107293",TRUE,1,75,75,5,58,1,0,0,3,9,2,49,7,75,"TD",1
"North Carolina","ACC","South Carolina","SEC",401110729,"4011107294",FALSE,1,15,85,3,9,1,21,79,1,31,1,38,3,6,"PUNT",1
"South Carolina","SEC","North Carolina","ACC",401110729,"4011107295",FALSE,1,36,36,1,31,2,36,36,14,55,1,36,4,0,"MISSED FG",1
"North Carolina","ACC","South Carolina","SEC",401110729,"4011107296",FALSE,2,36,64,14,55,2,70,30,10,56,3,59,10,34,"MISSED FG",1
"South Carolina","SEC","North Carolina","ACC",401110729,"4011107297",TRUE,2,89,89,10,56,2,22,22,7,24,3,32,9,48,"FG",1
"North Carolina","ACC","South Carolina","SEC",401110729,"4011107298",TRUE,2,25,75,7,24,2,93,7,1,50,5,34,11,68,"FG",1
"South Carolina","SEC","North Carolina","ACC",401110729,"4011107299",FALSE,2,75,75,1,50,2,66,66,0,39,1,11,3,9,"PUNT",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"4011107301",FALSE,1,25,75,15,0,1,23,77,14,45,NA,15,2,-2,"FUMBLE",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"4011107302",TRUE,1,23,23,14,45,1,0,0,12,0,2,45,6,23,"TD",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"4011107303",TRUE,1,22,78,11,55,1,100,0,4,13,7,42,16,78,"TD",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"4011107304",FALSE,1,75,75,4,13,1,88,88,2,7,2,6,3,-13,"PUNT",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"4011107305",TRUE,1,54,46,2,7,1,100,0,0,9,1,58,5,46,"TD",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"4011107306",FALSE,1,75,75,0,9,2,46,46,13,51,1,18,6,29,"PUNT",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"4011107307",FALSE,2,14,86,13,51,2,34,66,9,43,4,8,6,20,"PUNT",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"4011107308",TRUE,2,81,81,9,43,2,0,0,3,11,6,32,16,81,"TD",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"4011107309",TRUE,2,25,75,3,11,2,98,2,15,0,3,11,12,73,"FG",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"4011107311",FALSE,1,20,80,15,0,1,41,59,12,56,2,4,4,21,"PUNT",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"4011107312",FALSE,1,82,82,12,56,1,76,76,11,55,1,1,3,6,"PUNT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"4011107313",TRUE,1,28,72,11,55,1,100,0,7,44,4,11,9,72,"TD",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"4011107314",FALSE,1,75,75,7,44,1,63,63,5,10,2,34,6,12,"INT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"4011107315",TRUE,1,58,42,5,10,1,100,0,2,16,2,54,6,42,"TD",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"4011107316",FALSE,1,75,75,2,16,1,74,74,0,19,1,57,3,1,"PUNT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"4011107317",FALSE,1,45,55,0,19,2,61,39,11,53,3,26,6,16,"PUNT",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"4011107318",FALSE,2,90,90,11,53,2,95,95,10,6,1,47,3,-5,"PUNT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"4011107319",TRUE,2,60,40,10,6,2,100,0,7,25,2,41,5,40,"TD",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"4011107321",TRUE,1,75,75,15,0,1,0,0,11,1,3,59,8,75,"TD",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"4011107322",FALSE,1,25,75,11,1,1,41,59,6,30,4,31,6,16,"PUNT",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"4011107323",TRUE,1,89,89,6,30,1,0,0,0,56,5,34,10,89,"TD",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"4011107324",FALSE,1,25,75,0,56,2,43,57,12,4,3,52,8,18,"PUNT",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"4011107325",TRUE,2,80,80,12,4,2,0,0,8,1,4,3,7,80,"TD",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"4011107326",TRUE,2,20,80,8,1,2,93,7,2,25,5,36,12,73,"FG",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"4011107327",FALSE,2,78,78,2,25,2,65,65,1,6,1,19,5,13,"PUNT",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"4011107328",TRUE,2,20,80,1,6,2,71,29,0,0,1,6,7,52,"DOWNS",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"4011107329",FALSE,2,71,71,0,4,2,71,71,0,0,NA,4,0,0,"Uncategorized",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"4011116531",FALSE,1,35,65,15,0,1,42,58,13,42,1,18,3,7,"FUMBLE",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"4011116532",TRUE,1,84,16,13,42,1,100,0,11,52,1,50,5,16,"TD",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"4011116533",FALSE,1,75,75,11,52,1,58,58,7,59,3,53,8,17,"PUNT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"4011116534",FALSE,1,15,85,7,59,1,27,73,6,48,1,11,4,26,"FUMBLE",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"4011116535",FALSE,1,41,41,6,48,1,36,36,6,7,NA,41,3,5,"PUNT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"4011116536",TRUE,1,20,80,6,7,1,100,0,5,39,NA,28,1,80,"TD",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"4011116537",FALSE,1,86,86,5,39,1,45,45,3,33,2,6,4,41,"PUNT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"4011116538",FALSE,1,7,93,3,33,2,48,52,13,36,4,57,10,41,"PUNT",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"4011116539",FALSE,2,91,91,13,36,2,82,82,12,49,NA,47,3,5,"FUMBLE",1
"Stephen F. Austin",NA,"Baylor","Big 12",401112073,"4011120731",FALSE,1,75,75,15,0,1,68,68,13,22,1,38,3,7,"PUNT",1
"Baylor","Big 12","Stephen F. Austin",NA,401112073,"4011120732",TRUE,1,55,45,13,22,1,100,0,11,48,1,34,6,45,"TD",1
"Stephen F. Austin",NA,"Baylor","Big 12",401112073,"4011120733",FALSE,1,84,84,11,48,1,92,92,10,4,1,44,3,-8,"PUNT",1
"Baylor","Big 12","Stephen F. Austin",NA,401112073,"4011120734",TRUE,1,54,46,10,4,1,100,0,8,13,1,51,5,46,"TD",1
"Stephen F. Austin",NA,"Baylor","Big 12",401112073,"4011120735",TRUE,1,75,75,8,13,1,0,0,3,17,4,56,11,75,"TD",1
"Baylor","Big 12","Stephen F. Austin",NA,401112073,"4011120736",FALSE,1,29,71,3,17,1,49,51,1,42,1,35,4,20,"PUNT",1
"Stephen F. Austin",NA,"Baylor","Big 12",401112073,"4011120737",FALSE,1,70,70,1,42,1,66,66,0,28,1,14,3,4,"PUNT",1
"Baylor","Big 12","Stephen F. Austin",NA,401112073,"4011120738",FALSE,1,51,49,0,28,2,55,45,14,11,1,17,3,4,"PUNT",1
"Stephen F. Austin",NA,"Baylor","Big 12",401112073,"4011120739",FALSE,2,76,76,14,11,2,82,82,13,13,NA,58,2,-6,"INT",1
"Iowa State","Big 12","Northern Iowa",NA,401112085,"4011120851",FALSE,1,23,77,15,0,1,50,50,12,24,2,36,7,27,"PUNT",1
"Northern Iowa",NA,"Iowa State","Big 12",401112085,"4011120852",FALSE,1,91,91,12,24,1,59,59,7,55,4,29,9,32,"PUNT",1
"Iowa State","Big 12","Northern Iowa",NA,401112085,"4011120853",FALSE,1,16,84,7,55,1,47,53,4,55,3,NA,5,31,"PUNT",1
"Northern Iowa",NA,"Iowa State","Big 12",401112085,"4011120854",FALSE,1,88,88,4,55,1,84,84,3,30,1,25,3,4,"PUNT",1
"Iowa State","Big 12","Northern Iowa",NA,401112085,"4011120855",TRUE,1,41,59,3,30,1,75,25,0,53,2,37,9,34,"FG",1
"Northern Iowa",NA,"Iowa State","Big 12",401112085,"4011120856",FALSE,1,75,75,0,48,2,47,47,9,9,6,39,10,28,"PUNT",1
"Iowa State","Big 12","Northern Iowa",NA,401112085,"4011120857",FALSE,2,16,84,9,9,2,55,45,6,1,3,8,5,39,"PUNT",1
"Northern Iowa",NA,"Iowa State","Big 12",401112085,"4011120858",FALSE,2,88,88,6,1,2,87,87,4,38,1,23,3,1,"PUNT",1
"Iowa State","Big 12","Northern Iowa",NA,401112085,"4011120859",FALSE,2,50,50,4,38,2,59,41,3,40,NA,58,4,9,"DOWNS",1
"Kansas","Big 12","Indiana State",NA,401112096,"4011120961",FALSE,1,18,82,15,0,1,69,31,11,27,3,33,7,51,"MISSED FG",1
"Indiana State",NA,"Kansas","Big 12",401112096,"4011120962",TRUE,1,69,69,11,27,1,51,51,8,43,2,44,6,18,"INT TD",1
"Indiana State",NA,"Kansas","Big 12",401112096,"4011120964",FALSE,1,75,75,8,43,1,46,46,4,12,4,31,7,29,"PUNT",1
"Kansas","Big 12","Indiana State",NA,401112096,"4011120965",FALSE,1,9,91,4,12,1,10,90,2,19,1,53,3,1,"PUNT",1
"Indiana State",NA,"Kansas","Big 12",401112096,"4011120966",FALSE,1,51,51,2,19,2,33,33,14,21,2,58,6,18,"MISSED FG",1
"Kansas","Big 12","Indiana State",NA,401112096,"4011120967",FALSE,2,33,67,14,21,2,63,37,11,56,2,25,7,30,"FUMBLE",1
"Indiana State",NA,"Kansas","Big 12",401112096,"4011120968",FALSE,2,63,63,11,56,2,27,27,9,26,2,30,7,36,"MISSED FG",1
"Kansas","Big 12","Indiana State",NA,401112096,"4011120969",TRUE,2,27,73,9,26,2,82,18,6,17,3,9,9,55,"FG",1
"Kansas State","Big 12","Nicholls",NA,401112106,"4011121061",TRUE,1,28,72,15,0,1,100,0,8,45,6,15,12,72,"TD",1
"Nicholls",NA,"Kansas State","Big 12",401112106,"4011121062",FALSE,1,75,75,8,45,1,67,67,8,6,NA,39,2,8,"INT",1
"Kansas State","Big 12","Nicholls",NA,401112106,"4011121063",TRUE,1,72,28,8,6,1,100,0,5,45,2,21,5,28,"TD",1
"Nicholls",NA,"Kansas State","Big 12",401112106,"4011121064",FALSE,1,78,78,5,38,1,69,69,3,22,2,16,3,9,"PUNT",1
"Kansas State","Big 12","Nicholls",NA,401112106,"4011121065",TRUE,1,29,71,3,22,2,100,0,13,35,4,47,10,71,"TD",1
"Nicholls",NA,"Kansas State","Big 12",401112106,"4011121066",FALSE,2,83,83,13,30,2,68,68,11,41,1,49,4,15,"PUNT",1
"Kansas State","Big 12","Nicholls",NA,401112106,"4011121067",TRUE,2,27,73,11,41,2,100,0,6,21,5,20,10,73,"TD",1
"Nicholls",NA,"Kansas State","Big 12",401112106,"4011121068",FALSE,2,75,75,6,15,2,47,47,3,57,2,18,5,28,"PUNT",1
"Kansas State","Big 12","Nicholls",NA,401112106,"4011121069",FALSE,2,12,88,3,57,2,80,20,0,58,2,59,8,68,"MISSED FG",1
"Houston","American Athletic","Oklahoma","Big 12",401112114,"4011121141",FALSE,1,83,83,15,0,1,83,83,13,31,1,29,3,0,"PUNT",1
"Oklahoma","Big 12","Houston","American Athletic",401112114,"4011121142",TRUE,1,39,61,13,31,1,100,0,12,21,1,10,3,61,"TD",1
"Houston","American Athletic","Oklahoma","Big 12",401112114,"4011121143",FALSE,1,70,70,12,21,1,76,76,10,18,2,3,3,-6,"PUNT",1
"Oklahoma","Big 12","Houston","American Athletic",401112114,"4011121144",FALSE,1,34,66,10,18,1,68,32,7,24,2,54,6,34,"MISSED FG",1
"Houston","American Athletic","Oklahoma","Big 12",401112114,"4011121145",FALSE,1,68,68,7,24,1,46,46,4,44,2,40,5,22,"PUNT",1
"Oklahoma","Big 12","Houston","American Athletic",401112114,"4011121146",TRUE,1,11,89,4,44,2,100,0,14,10,5,34,11,89,"TD",1
"Houston","American Athletic","Oklahoma","Big 12",401112114,"4011121147",FALSE,2,75,75,14,10,2,67,67,12,22,1,48,3,8,"PUNT",1
"Oklahoma","Big 12","Houston","American Athletic",401112114,"4011121148",TRUE,2,23,77,12,22,2,100,0,8,9,4,13,8,77,"TD",1
"Houston","American Athletic","Oklahoma","Big 12",401112114,"4011121149",TRUE,2,81,81,8,9,2,0,0,4,58,3,11,6,81,"TD",1
"Oregon State","Pac-12","Oklahoma State","Big 12",401112122,"4011121221",TRUE,1,30,70,15,0,1,100,0,13,6,1,54,6,70,"TD",1
"Oklahoma State","Big 12","Oregon State","Pac-12",401112122,"4011121222",TRUE,1,70,70,13,6,1,0,0,9,13,3,53,9,70,"TD",1
"Oregon State","Pac-12","Oklahoma State","Big 12",401112122,"4011121223",TRUE,1,25,75,9,13,1,88,12,3,42,5,31,14,63,"FG",1
"Oklahoma State","Big 12","Oregon State","Pac-12",401112122,"4011121224",TRUE,1,77,77,3,42,2,6,6,13,33,5,9,14,71,"FG",1
"Oregon State","Pac-12","Oklahoma State","Big 12",401112122,"4011121225",FALSE,2,25,75,13,33,2,32,68,12,15,1,18,3,7,"PUNT",1
"Oklahoma State","Big 12","Oregon State","Pac-12",401112122,"4011121226",TRUE,2,86,86,12,15,2,0,0,9,41,2,34,7,86,"TD",1
"Oregon State","Pac-12","Oklahoma State","Big 12",401112122,"4011121227",FALSE,2,9,91,9,41,2,11,89,8,36,1,5,3,2,"PUNT",1
"Oklahoma State","Big 12","Oregon State","Pac-12",401112122,"4011121228",TRUE,2,51,51,8,36,2,0,0,6,45,1,51,5,51,"TD",1
"Oregon State","Pac-12","Oklahoma State","Big 12",401112122,"4011121229",FALSE,2,25,75,6,45,2,27,73,5,16,1,29,3,2,"PUNT",1
"Arkansas-Pine Bluff",NA,"TCU","Big 12",401112129,"4011121291",FALSE,1,88,88,15,0,1,53,53,11,18,3,42,10,35,"INT",1
"TCU","Big 12","Arkansas-Pine Bluff",NA,401112129,"4011121292",TRUE,1,46,54,11,18,1,94,6,7,53,3,25,10,48,"FG",1
"Arkansas-Pine Bluff",NA,"TCU","Big 12",401112129,"4011121293",FALSE,1,75,75,7,53,1,70,70,6,21,1,32,3,5,"PUNT",1
"TCU","Big 12","Arkansas-Pine Bluff",NA,401112129,"4011121294",FALSE,1,48,52,6,21,1,94,6,6,4,NA,17,1,46,"FUMBLE",1
"Arkansas-Pine Bluff",NA,"TCU","Big 12",401112129,"4011121295",FALSE,1,91,91,6,4,1,88,88,4,49,1,15,3,3,"PUNT",1
"TCU","Big 12","Arkansas-Pine Bluff",NA,401112129,"4011121296",TRUE,1,42,58,4,49,1,100,0,0,59,3,50,11,58,"TD",1
"Arkansas-Pine Bluff",NA,"TCU","Big 12",401112129,"4011121297",FALSE,1,79,79,0,54,2,54,54,12,13,3,41,8,25,"PUNT",1
"TCU","Big 12","Arkansas-Pine Bluff",NA,401112129,"4011121298",FALSE,2,11,89,12,13,2,36,64,9,33,2,40,6,25,"PUNT",1
"Arkansas-Pine Bluff",NA,"TCU","Big 12",401112129,"4011121299",FALSE,2,76,76,9,33,2,77,77,8,19,1,14,3,-1,"PUNT",1
"Texas","Big 12","Louisiana Tech","Conference USA",401112135,"4011121351",TRUE,1,43,57,15,0,1,100,0,12,40,2,20,7,57,"TD",1
"Louisiana Tech","Conference USA","Texas","Big 12",401112135,"4011121352",FALSE,1,77,77,12,40,1,26,26,7,45,4,55,11,51,"MISSED FG",1
"Texas","Big 12","Louisiana Tech","Conference USA",401112135,"4011121353",FALSE,1,26,74,7,45,1,60,40,4,53,2,52,9,49,"FUMBLE",1
