"offense","offense_conference","defense","defense_conference","game_id","id","scoring","start_period","start_yardline","start_yards_to_goal","start_time.minutes","start_time.seconds","end_period","end_yardline","end_yards_to_goal","end_time.minutes","end_time.seconds","elapsed.minutes","elapsed.seconds","plays","yards","drive_result","week"
"Memphis","American Athletic","Ole Miss","SEC",401110726,"40111072610",FALSE,2,9,91,9,26,2,13,87,8,11,1,15,3,4,"PUNT",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"40111072611",FALSE,2,74,74,8,11,2,74,74,7,59,NA,12,2,0,"INT",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"40111072612",FALSE,2,50,50,7,59,2,61,39,4,57,3,2,7,11,"PUNT",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"40111072613",FALSE,2,80,80,4,57,2,83,83,3,59,NA,58,3,-3,"PUNT",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"40111072614",TRUE,2,63,37,3,59,2,100,0,0,40,3,19,7,37,"TD",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"40111072615",FALSE,2,75,75,0,40,2,73,73,0,0,NA,40,1,2,"END OF HALF",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"40111072616",FALSE,3,20,80,15,0,3,72,28,12,31,2,29,7,52,"INT",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"40111072617",FALSE,3,61,61,12,31,3,30,30,9,24,3,7,7,31,"DOWNS",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"40111072618",FALSE,3,30,70,9,24,3,63,37,6,37,2,47,5,33,"PUNT",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"40111072619",TRUE,3,80,80,6,37,3,18,18,3,11,3,26,9,62,"FG",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"40111072620",FALSE,3,35,65,3,11,3,58,42,1,6,2,5,5,20,"DOWNS",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"40111072621",TRUE,3,55,55,1,6,4,0,0,11,49,4,17,10,55,"TD",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"40111072622",FALSE,4,20,80,11,49,4,58,42,6,32,5,17,9,38,"PUNT",1
"Ole Miss","SEC","Memphis","American Athletic",401110726,"40111072623",TRUE,4,99,99,6,32,4,98,98,6,27,NA,5,1,-2,"SF",1
"Memphis","American Athletic","Ole Miss","SEC",401110726,"40111072624",FALSE,4,31,69,6,27,4,70,30,0,0,6,27,14,39,"END OF GAME",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"40111072710",FALSE,2,20,80,13,3,2,42,58,11,14,1,49,4,22,"FUMBLE",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"40111072711",TRUE,2,42,42,11,14,2,0,0,9,18,1,56,5,42,"TD",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"40111072712",TRUE,2,31,69,9,12,2,100,0,4,31,4,41,10,69,"TD",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"40111072713",TRUE,2,82,82,4,25,2,0,0,0,31,3,54,11,82,"TD",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"40111072714",FALSE,2,52,52,0,25,2,42,42,0,0,NA,25,4,10,"END OF HALF",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"40111072715",FALSE,3,25,75,15,0,3,21,79,11,13,3,47,6,-4,"PUNT",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"40111072716",TRUE,3,65,65,11,13,3,0,0,7,7,4,6,9,65,"TD",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"40111072717",FALSE,3,13,87,6,58,3,88,12,3,53,3,5,8,75,"FUMBLE",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"40111072718",FALSE,3,88,88,3,53,4,43,43,14,49,4,4,7,45,"PUNT",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"40111072719",FALSE,4,1,99,14,49,4,9,91,13,14,1,35,3,8,"PUNT",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"40111072720",TRUE,4,12,12,13,14,4,0,0,13,7,NA,7,1,12,"TD",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"40111072721",TRUE,4,31,69,12,59,4,100,0,9,56,3,3,9,69,"TD",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"40111072722",FALSE,4,75,75,9,56,4,39,39,7,21,2,35,6,36,"PUNT",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"40111072723",FALSE,4,1,99,7,21,4,100,0,2,45,4,36,14,99,"TD",1
"Mississippi State","SEC","Louisiana","Sun Belt",401110727,"40111072724",TRUE,4,42,42,2,45,4,19,19,1,2,1,43,6,23,"FG",1
"Louisiana","Sun Belt","Mississippi State","SEC",401110727,"40111072725",FALSE,4,35,65,0,55,4,67,33,0,0,NA,55,5,32,"END OF HALF",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072810",FALSE,2,75,75,7,54,2,68,68,6,29,1,25,3,7,"PUNT",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072811",TRUE,2,39,61,6,29,2,100,0,6,15,NA,14,2,61,"TD",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072812",TRUE,2,75,75,6,15,2,5,5,2,11,4,4,13,70,"FG",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072813",TRUE,2,25,75,2,11,2,100,0,1,58,NA,13,1,75,"TD",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072814",FALSE,2,75,75,1,58,2,9,9,0,0,1,58,8,66,"FUMBLE",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072815",TRUE,3,6,94,15,0,3,6,94,15,0,NA,NA,1,0,"FG",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072816",FALSE,3,75,75,15,0,3,17,17,10,4,4,56,14,58,"INT",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072817",TRUE,3,20,80,10,4,3,100,0,4,21,5,43,11,80,"TD",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072818",FALSE,3,75,75,4,21,3,42,42,1,56,2,25,4,33,"PUNT",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072819",FALSE,3,15,85,1,56,4,35,65,14,39,2,17,4,20,"PUNT",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072820",TRUE,4,29,29,14,39,4,0,0,13,29,1,10,4,29,"TD",1
